Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer,Shuffle,Item,Max Time,Text,Trial Type,Settings,Condition
1,2,1,1,3,2,3,C,Study,,volcano_1.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,3,3,3,C,Study,,volcano_4.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,3,1,3,C,Study,,volcano_2.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,3,4,3,C,Study,,volcano_3.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,3,3,3,C,Study,,volcano_4.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,3,1,3,C,Study,,volcano_2.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,3,2,3,C,Study,,volcano_1.jpg,Volcano,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,1,1,1,A,Study,,meadow_2.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,1,4,1,A,Study,,meadow_4.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,1,2,1,A,Study,,meadow_3.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,1,3,1,A,Study,,meadow_1.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,1,1,1,A,Study,,meadow_2.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,1,4,1,A,Study,,meadow_4.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,1,3,1,A,Study,,meadow_1.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,1,2,1,A,Study,,meadow_3.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,1,4,1,A,Study,,meadow_4.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,1,3,1,A,Study,,meadow_1.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,1,2,1,A,Study,,meadow_3.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,1,1,1,A,Study,,meadow_2.jpg,Meadow,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,4,1,4,D,Study,,mountain_1.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,4,4,4,D,Study,,mountain_2.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,4,2,4,D,Study,,mountain_4.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,4,3,4,D,Study,,mountain_3.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,4,2,4,D,Study,,mountain_4.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,4,3,4,D,Study,,mountain_3.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,4,1,4,D,Study,,mountain_1.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,4,4,4,D,Study,,mountain_2.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,3,1,1,4,3,4,D,Study,,mountain_3.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,4,1,1,4,4,4,D,Study,,mountain_2.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,1,1,1,4,1,4,D,Study,,mountain_1.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
1,2,1,1,4,2,4,D,Study,,mountain_4.jpg,Mountain,off,0,user,,StudyAlienInContext,"""alien_min_delay"":1,""alien_max_delay"":2,""alien_appear_time"":0.5,""alien_catch_time"":1.5,""alien_final_study_time"":2,""feedback_time"":3,""left_key"":""ArrowLeft"",""right_key"":""ArrowRight""",Blocked
